Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,2,Export,12,Algeria,DZA,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,5463,,,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,1594227,,,0
H2,2002,2002,2002,2,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,461426129,,,0
H2,2002,2002,2002,2,0,2,Export,12,Algeria,DZA,204,Benin,BEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,24651697,,,0
H2,2002,2002,2002,2,0,2,Export,32,Argentina,ARG,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,10493154,,,0
H2,2002,2002,2002,2,0,1,Import,32,Argentina,ARG,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,627728,,,0
H2,2002,2002,2002,2,0,2,Export,32,Argentina,ARG,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,60,,,0
H2,2002,2002,2002,2,0,1,Import,36,Australia,AUS,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,2015909,,,0
H2,2002,2002,2002,2,0,2,Export,36,Australia,AUS,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,64627851,,,0
H2,2002,2002,2002,2,0,1,Import,40,Austria,AUT,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,103775700,,,0
H2,2002,2002,2002,2,0,2,Export,40,Austria,AUT,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,52064224,,,0
H2,2002,2002,2002,2,0,1,Import,40,Austria,AUT,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,451548,,,0
H2,2002,2002,2002,2,0,2,Export,40,Austria,AUT,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,7924,,,0
H2,2002,2002,2002,2,0,1,Import,48,Bahrain,BHR,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,19611201,,,0
H2,2002,2002,2002,2,0,1,Import,50,Bangladesh,BGD,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,103316,,,0
H2,2002,2002,2002,2,0,2,Export,56,Belgium,BEL,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,30823,,,0
H2,2002,2002,2002,2,0,1,Import,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,10171501,,,0
H2,2002,2002,2002,2,0,2,Export,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,1083291,,,0
H2,2002,2002,2002,2,0,1,Import,56,Belgium,BEL,204,Benin,BEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,2381,,,0
H2,2002,2002,2002,2,0,2,Export,56,Belgium,BEL,204,Benin,BEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,1724420,,,0
H2,2002,2002,2002,2,0,1,Import,68,Bolivia (Plurinational State of),BOL,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,91594,,,0
H2,2002,2002,2002,2,0,1,Import,76,Brazil,BRA,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,5964537,,,0
H2,2002,2002,2002,2,0,1,Import,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,51164355,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,242427,,,0
H2,2002,2002,2002,2,0,2,Export,100,Bulgaria,BGR,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,3839,,,0
H2,2002,2002,2002,2,0,1,Import,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,1933742,,,0
H2,2002,2002,2002,2,0,2,Export,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,12804,,,0
H2,2002,2002,2002,2,0,1,Import,100,Bulgaria,BGR,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,75270,,,0
H2,2002,2002,2002,2,0,2,Export,100,Bulgaria,BGR,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,1353,,,0
H2,2002,2002,2002,2,0,1,Import,112,Belarus,BLR,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,673300,,,0
H2,2002,2002,2002,2,0,2,Export,112,Belarus,BLR,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,18440100,,,0
H2,2002,2002,2002,2,0,2,Export,124,Canada,CAN,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,59742,,,0
H2,2002,2002,2002,2,0,1,Import,124,Canada,CAN,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,868059,,,0
H2,2002,2002,2002,2,0,2,Export,124,Canada,CAN,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,10620255,,,0
